gbifID,species,decimalLatitude,decimalLongitude,elevation
3912426539,Amelanchier alnifolia,51.439717,-116.336263,1636
3912381345,Amelanchier alnifolia,49.54084,-120.905197,1441
3912356517,Amelanchier alnifolia,52.078641,-120.196884,663
3912340368,Amelanchier alnifolia,49.856997,-115.142106,1270
3912331427,Amelanchier alnifolia,49.213923,-125.367883,109
3912328550,Amelanchier alnifolia,49.028331,-119.573108,959
3912326752,Amelanchier alnifolia,51.298539,-117.048964,1270
3912326530,Amelanchier alnifolia,50.116789,-125.083819,0
3912326524,Amelanchier alnifolia,49.322483,-119.629487,557
3912322671,Amelanchier alnifolia,53.288097,-123.761604,841
3912320624,Amelanchier alnifolia,48.672597,-123.468253,37
3912320555,Amelanchier alnifolia,51.660592,-121.236281,937
3912319490,Amelanchier alnifolia,53.923144,-122.730439,568
3912316415,Amelanchier alnifolia,50.684917,-121.942249,281
3912306448,Amelanchier alnifolia,49.290581,-119.580322,477
3912290736,Amelanchier alnifolia,50.143837,-116.957028,693
3912283102,Amelanchier alnifolia,46.952031,-121.867027,1481
3912253669,Amelanchier alnifolia,50.025073,-125.249647,21
3912235399,Amelanchier alnifolia,50.047532,-125.282172,35
3912226912,Amelanchier alnifolia,50.186,-115.793975,1454
3912226806,Amelanchier alnifolia,54.535247,-126.775214,782
3912226645,Amelanchier alnifolia,54.394105,-126.655392,616
3912218311,Amelanchier alnifolia,51.442466,-116.541846,1301
3912217577,Amelanchier alnifolia,50.668217,-121.986992,259
3912216992,Amelanchier alnifolia,48.644962,-123.739151,126
3912216989,Amelanchier alnifolia,49.292908,-119.578674,514
3912213565,Amelanchier alnifolia,48.62844,-123.478964,10
3912211362,Amelanchier alnifolia,49.537285,-120.908089,1355
3912205538,Amelanchier alnifolia,50.97312,-119.418315,568
3912202403,Amelanchier alnifolia,49.764451,-125.110078,75
3912196609,Amelanchier alnifolia,49.017617,-118.744536,620
3912194756,Amelanchier alnifolia,58.177969,-125.749541,919
3912192413,Amelanchier alnifolia,49.353316,-124.495023,35
3912188827,Amelanchier alnifolia,53.912633,-125.578831,774
3912182395,Amelanchier alnifolia,49.372467,-123.293045,11
3912180828,Amelanchier alnifolia,47.126719,-122.817692,43
3912180411,Amelanchier alnifolia,49.931847,-119.405663,503
3912178459,Amelanchier alnifolia,48.477918,-123.399014,19
3912175622,Amelanchier alnifolia,49.484089,-123.247331,70
3912174412,Amelanchier alnifolia,49.046942,-123.7786,63
3912174410,Amelanchier alnifolia,48.552408,-123.463654,69
3912171402,Amelanchier alnifolia,48.940923,-123.586123,2
3912169437,Amelanchier alnifolia,51.315384,-121.822746,1084
3912167530,Amelanchier alnifolia,49.129081,-120.622658,1037
3912167432,Amelanchier alnifolia,48.437755,-123.386217,18
3912165616,Amelanchier alnifolia,50.784111,-121.914754,1057
3912163729,Amelanchier alnifolia,49.322187,-124.266555,5
3912163699,Amelanchier alnifolia,50.051131,-119.392273,398
3912163582,Amelanchier alnifolia,50.04626,-124.977498,72
3912161422,Amelanchier alnifolia,51.321487,-121.82151,1092
3912157600,Amelanchier alnifolia,49.034669,-125.551941,7
3912157581,Amelanchier alnifolia,49.688366,-124.909981,56
3912155478,Amelanchier alnifolia,49.67644,-124.901985,50
3912153984,Amelanchier alnifolia,50.198127,-119.262353,393
3912153633,Amelanchier alnifolia,50.747883,-116.291345,1141
3912153571,Amelanchier alnifolia,49.112008,-118.982372,613
3912152642,Amelanchier alnifolia,50.640807,-121.999894,791
3912152521,Amelanchier alnifolia,48.809855,-123.1894,1
3912151269,Amelanchier alnifolia,52.138217,-120.191553,687
3912149602,Amelanchier alnifolia,48.78603,-123.79821,105
3912149136,Amelanchier alnifolia,51.515594,-116.957169,951
3912147661,Amelanchier alnifolia,50.079937,-123.036113,611
